CODE,NAME,ADDRESS1,ADDRESS2,POST CODE,CITY,TEL,MOBILE
10027,ANTEPLILER RESTAURANT LTD,46 GRAND PARADE,GREEN LANES,N4 1AG,LOND ON, 7789 778208,
10365,ARAN FOOD CENTRE,56 WATLING AVE,BURNT OAK,HA8 0LT,EDGW ARE,,
10135,ARI FOOD CENTRE,16 BALLARDS LANE,,N12 0EW,LOND ON,,
10328,ARSLAN CASH&CARRY LIMITED,20 QUEENSWAY,,EN3 4SA,POND ERS END,,
10333,ARYA SUPERMARKET LIMITED,159-160 PARROCK STREET,GRAVESEND,DA12 1ER,ENGL AND,,
10654,AS PONTES LOGISTICS SERVICES SL,RU BALSA. SN.,PONTES GARCIA DE RODRIGUEZ,15320,A CO RUN,0034919 330393,
10581,ASIL MEAT LTD,UNIT 8,TRIUMPH TRADING ESTATE,N17 0EB,LOND ON,,
10290,ATAKAN FOOD CENTER,315 W GREEN RD,,N15 3PA,LOND ON,,
10446,ATLANTIS FOOD CENTRE,264-266 HIGH ROAD,WILLESDEN,NW10 2EY,LOND ON,,
10372,ATLANTIS FOOD CENTRE NEASDEN,77 DUDDEN HILL LN,,NW10 1DG,LOND ON,,
10319,ATMALI IMPORT LTD,UNIT 4, 233 HIGH STREET,W3 9BY,LOND ON, 7939 823488,
10452,AYAS IMPORT EXPORT LTD,ASHLEY HOUSE,OFFICE 316. 235-239 HIGH ROAD,N22 8HF,LOND ON,,
10638,AYAZ FOOD CENTRE LTD,236 HERTFORD ROAD,,EN35BL,LOND ON,,
10384,AYSA FOOD AND WINE (BABA FOOD),75 HIGH ST,,ME7 1BJ,GILL INGHAM,,
10338,AZAD FOOD CENTRE,411-413 HIGH ROAD,,IG1 1TJ,ILFO RD, (020 8514 6914),
10211,AZIZIYE BUTCHER,117 STOKE NEWINGTON RD,,N16 8BU,LOND ON,07529 384775,
10464,BABEL ART LONDON LTD,86 STOKE NEWINGTON HIGH STREET,,N16 7PA, ,,
10528,BAGHDAD FOOD CENTRE,143-147 THE VALE,,W3 7RH,LOND ON,,7754934743
10360,BAKKALIM UK,UNIT 8 CATTLEGATE ROAD,CREWS HILL,EN2 9ED,ENFI ELD,07557 141818,
10350,BAKUR LTD- MIR FOOD CENTRE,88-92 HIGH ST,,HA3 7AH,HARR OW,,
10159,BANKA HESAP DEVIR,,,, ,,
10443,BB FATIMA CASH AND CARRY,654 LEA BRIDGE RD,,E10 6AP,LOND ON,020 4537 5639,7800580096
10451,BBQ PIT,,,, ,,
10629,BEST C.VEG LIMITED,UNIT 8 LEESIDE TRADING ESTATE,TOTTENHAM,N17 0QH,LOND ON,,
10565,BEST GROCERY LTD,UNIT A STATION APPROACH,WALTHAM CROSS,EN8 7LX,LOND ON,,
10330,BEST MINI MARKET, 231 BOUNCES RD,,N9 8LP,LOND ON,,
10172,BEXLEY INTERNATIONAL FOOD CENTRE,252 BEXLEY RD,,DA8 3HB,ERIT H,01322 334411,
10337,BIG BASKET ENFIELD, 215 CHASE SIDE,ENFIELD, EN2 0RA,LOND ON,,
10336,BIG BASKET ILFORD,183 RICHMOND RD,ILFORD,IG1 2XN,LOND ON,,
10436,BIG BEN BUTCHERY LTD,120-122 FORE ST,,N18 2XA,LOND ON,,
10355,BIR TAT LTD,422-424 HIGH ROAD,,N17 9JB,LOND ON,,
10537,BOGAZICI LTD,382 REYLEIGH ROAD,,SS9 5PT, ,,
10324,BORKE LTD,153 _155 HIGH STREET,STAINES UPONTHAMES,TW18 4PA,LOND ON,,
10633,BOSTON FC LTD,2 STRAIT BARGATE,,PE21 6LR,BOST ON,,
10449,BOSTON SUPERMARKET,8 GEORGE STREET,,PE21 8XF,BOST ON,,
10307,BRAND WAY FOOD LTD,23-24 BARRETTS GREEN ROAD,PARK ROYAL,NW10 7AE,LOND ON,7411 159819,
10334,BRENT STREET FOOD & WINE,109 BRENT ST,,NW4 2DX,LOND ON,,
10247,BRIMSDOWN FOOD CENTRE,251 GREEN STREET,ENFIELD,EN3 7SH,LOND ON,020 8805 1680,
10308,BROADWAY FOOD CENTRE,89-91 BURNT OAK BROADWAY,EDGWARE, HA8 5EP,LOND ON,,
10272,BROTHERS FOOD CENTRE,137-139 ORDNANCE RD,,EN3 6AE,ENFI ELD,,
10441,BROXBOURNE FOOD CENTRE,,,, ,,
10527,BUDGENS SILVERTOWN,CONRAD HOUSE,19 WESLEY AVENUE,E16 1TD,LOND ON,,
10197,BUY & SAVE***,251-255 HIGH ST,LONDON,E17 7BH,WALT HAMSTOW,,
10037,BUY 2 SAVE GOLDERS GREEN,26 GOLDERS GREEN RD,,NW11 8LL,LOND ON,020 8455 8839,
10039,BUY 2 SAVE GREENFORD,460 GREENFORD ROAD,,UB6 8SQ,LOND ON,,
10129,BUYFOOD STRATFORD, 7 STATION ST,,E15 1DA,LOND ON, 7388 867223,
10130,BUYFOOD SUPERMARKET TOWER BRIDGE, 84 ROYAL MINT ST,,E1 8ZU, LON DON, 7388 867223,
10634,BZ EXPRESS LTD,UNIT 9. MAYBELLS COMMERCIAL ESTATE,BARKING,IG11 0TP,LOND ON,,
10012,CASH SALE,,,, ,,
10552,CASH SALE / NEW SALE,,,, ,,
10053,CHELMSFORD TAKEAWAY,37 DUKE STREET,,CM1 1HY,CHEL MSFORD,7956 209813,
10503,CHEQUE U/N,,,, ,,
10057,CHINGFORD FOOD CENTRE,1 CHINGFORD MOUNT ROAD,,E4 8LU,LOND ON,,
10014,CHOCALATE BOX LTD,201 LORDSHIP LANE. TOTTENHAM,,N17 6XF,LOND ON,7940 575142,
10439,cihan,,,, ,,
10158,CJ FOOD,,,, , 7538 131295,
10477,COLLEGE STORES SUPERMARKET,NUNSBURY DR. TURNFORD,,EN10 6AG,BROX BOURNE,,7412694512
10179,CONTINENTAL FOOD EXCHANGE,647-661 HIGH RD LEYTONSTONE,BUSHWOOD,E11 4RD,LOND ON, 7825 877364,
10535,CONTINENTAL SATIS (MUTFAK),,,, ,,
10259,CORNER FOOD CENTRE ILFORD,527 GREEN LN,, IG3 9RH,ILFO RD,,
10318,COSMOS CATERING,UNIT 5-6 COSMOS BENTALLS, BASILDON,SS14 3BX,ENGL AND,,
10236,COSTCUTTER,46 48 HARROW ROAD,,HA9 6PL,LOND ON,,
10490,COSTCUTTER - CLAPHAM ROAD,258 CLAPHAM RD,,SW9 9AE,LOND ON,,
10235,CRANBROOK SUPERMARKET ILFORD, 161A. 183 CRANBROOK RD,,IG1 4TA,ILFO RD,,
10387,CROSSBROOK SUPERMARKET,115 CROSSBROOK ST,CHESHUNT,EN8 8LY,WALT HAM CROSS,,
10363,CROSSWAY FOOD & WINE,55 SEWARDSTONE RD,,E4 7PA,LOND ON,,
10514,CUDI FOOD CENTRE,W GREEN RD. DUCKETT'S GREEN,N15 3PU,N15 3PU, ,,
10122,CYPROFOOD LIMITED,BRANTWOOD INDUSTRIAL ESTATE. BRANTWOOD,TOTTENHAM,N17 0DX,LOND ON,,020 8801 0101
10567,DAG SUPERMARKET, 41 GREENWICH HIGH RD,,SE10 8JL,LOND ON,,
10424,DAMAS GARDENS,43-45 HIGH ST,,W3 6ND,LOND ON,020 8993 9800,
10055,DAMAS GATE WHOLESALE,THE METROPOLITAN CENTRE,DERBY RD, UB6 8UJ,GREE NFORD,7703 783077,
10411,DEBDEN STORE,23 THE BROADWAY,,IG10 3SP,LOND ON,,
10220,DECEBAL LTD,,,, ,,
10600,DERIN GROUP LTD,25 PENNINE WALK,,PO14 1QQ, FAR EHAM,7355588828,
10496,DEVRAN UK LTD T/A BUY & SAVE SUPERMARKET,29-43 THE BROADWAY,STANMORE,HA7 4DJ, ,,7307538923
10174,DIAMOND SUPERMARKET,52 CANNON HILL,, N14 6LH,LOND ON,,
10190,DIRECT FOOD CENTRE,12-14 COLMAN PARADE,SOUTHBURY RD,EN1 1YY,ENFI ELD, 07939 234101,
10302,DIVAN RESTAURANT,163 BALLARDS LN,CHURCH END,N13 1LJ,LOND ON,,
10288,DURANTS FOOD WINE,292 294 DURANTS ROAD,,EN3 7AZ, ,,
10325,EAGLE LOCAL EXPRESS LTD,SHEFFIELD HOUSE. RYE ROAD,HODDESDON,EN11 0JR,HERT FORDSHIRE,,
10577,EAGLE LOGISTIC LONDON LTD,JJO ACCOUNTANCY UNIT 128. M25 BUSINESS CENTRE,ABILITY HOUSE. 121 BROOKER ROAD,EN9 1JH,WALT HAM ABBEY,,
10294,ECOMAR SUPERMARKET, 14 CHURCH HILL RD,BARNET,EN4 8TB,LOND ON,,
10483,EKIN FOOD CENTRE,321 FORE ST,,N9 0PD,LOND ON,,7479647015
10539,ELBZ LTD,176 LINCOLN ROAD,PETERBOROUGH,PE1 2NW,CAMB RIDGESHIRE,,7753321413
10292,ELIF FOOD CENTRE,155 MOUNT PLEASANT ROAD,,N17 6JH,LOND ON,7341 877879,
10244,ELIF FOOD CENTRE HOXTON,183 HOXTON ST,,N1 6RA,LOND ON,7341 877879,
10282,ELIF-BARAN LTD,14-16 WESTERHAM AVE,,N9 9BU,LOND ON,,
10359,ELIFS FOOD MARKET,197 FIELD END RD,PINNER,HA5 1QR, ,,
10296,EMBAS EXPRESS,98-100 HIGH RD,LEYTON,E15 2BX,LOND ON,,
10515,EMP WHOLESALE LTD ( PETIBOR),,,, ,,
10177,ENDO FOODS LTD,10 PRINCES ROAD,MONTAGU INDUSTRIAL ESTATE,N18 3PR,LOND ON,,
10611,ENFIELD CASTLE LTD,25 HURST AVENUE,,E4 8DW,LOND ON,,
10289,ENFIELD FOOD CENTER-CHESTNUT,,,EN8 8LQ,LOND ON,,
10364,ENFIELD MINI MARKET,116 SOUTH STREET,,EN3 4QA,POND ERS END, (020 8804 8597),07501 044464
10450,ENFIELD WINES,223 FORE ST,,N18 2TZ-,LOND ON,,
10414,ENZO WHOLESALE,5 PICKETT'S LOCK LN,, N9 0AS,LOND ON,7572 864969,
10354,EREN FOOD CENTRE,52 STAMFORD HILL,,N16 6XT,LOND ON,,
10469,ERSOY SUPPORT CONSULTANCY,,,, ,,
10430,ESSA FRESH LTD,,,, ,,
10397,ESSA FRESH LTD,UNIT 1 SANDY LANE BUSINESS PARK,,CV1 4DQ,COVE NTRY,,07748343136 VELDA
10274,EUCOM LONDON LTD,32-36 SHIRLEY HIGH STREET,,SO15 3NG,SOUT HAMPTON, 7502 242743,
10225,EURO FOOD CENTER,6 BROWNLOW RD,,N11 2DN,LOND ON,,
10252,EUROPOL PETERBOROUGH,A. ASHWOOD HOUSE, ENTERPRISE WAY,PE3 8YQ, PET ERBOROUGH,,
10391,EUROPOLI,282 LINCOLN RD,, PE1 2ND,PETE RBOROUGH,,
10051,EVERGREEN EXPRESS,316 GREEN LANES,FINSBURY PARK,N4 1BX,LOND ON,7701 052546,
10273,EVZER LTD - MIRPA FOOD CENTER,128 STATION RD,,HA8 7AA,EDGW ARE,,
10398,EXPA SUPERSTORES LTD,143-145 PHILIP LANE,,N15 4HQ,LOND ON,,
10614,EXPO INTERNATIONAL 5,31 HERBERT ROAD,,SE18 3SZ,LOND ON,,
10367,EXPO INTERNATIONAL SUPERMARKET, 301-303 BRAMPTON RD,,DA7 5QR,BEXL EYHEATH,,
10612,EXPO INTERNATIONAL SUPERMARKET 1,244 PLUMSTEAD HIGH ST,,SE18 1JN,LOND ON,,
10399,EXPO INTERNATIONAL SUPERMARKET 2,151 PLUMSTEAD ROAD,,SE18 7DY,LOND ON,,
10620,EXPO INTERNATIONAL SUPERMARKET 4,28-32 NUXLEY RD BELVEDERE,,DA17 5JG,LOND ON,,
10036,EXPRESS FOOD CENTRE,423-427 HIGH RD LEYTONSTONE,,E11 4JU,LOND ON,,
10261,EZEL FOOD&WINE,12 EMPIRE PARADE,,N18 1AA,LOND ON,,
10554,FAIR DEAL CASH & CARRY LIMITED,7A BOEING WAY,LONDON - SOUTHALL,UB2 5LB, ,,
10243,FARAH SUPERMARKET,402 EDGWARE RD,,W2 1ED,LOND ON,,
10586,FERHAT VAN,,,, ,,
10032,FIGS & GRAIN,19-21 BROADWAY MARKET,, E8 4PH,LOND ON, 7884 195557,
10295,FINCHLEY FOOD CENTER, 70A BALLARDS LN,,N3 2BU,LOND ON,,
10215,FIOS CONTINENTAL FOOD-SOUTHGATE,100-110 CROWN LANE,SOUTHGATE, N14 5EN,LOND ON,(020 8920 6613),07445 193302
10309,FIOS FOOD CENTER, 11 COCKFOSTERS PARADE,,EN4 0BX,BARN ET,,
10045,FOOD ART DIRECT,614-616. HERTFORD ROAD,,EN3 5TD,LOND ON,7435 338306,
10019,FOOD ART UK LIMITED,UNIT 3B BRIMSDOWN INDUSTRIAL ESTATE,55 LOCKFIELD AVENUE,EN3 7PY,ENFI ELD,7391 701510,
10132,FOOD COUNTRY LTD,UNIT D1. KINGHAM INDUSTRIAL ESTATE,,NW10 6PN,LOND ON,,
10020,FOOD MORNING LTD,UNIT 3 HOE LANE,NAZEING. WALTHAM ABBEY,EN9 2RJ,LOND ON, 7926 100366,
10369,FOOD REPUBLIC WHOLESALE,UNIT 3. STEWARTS LANE DEPOT,SILVERTHORNE ROAD, SW8 3HE,LOND ON,7920 202221,
10311,FOREST EXPRESS, 839 FOREST RD,,E17 4AT,LOND ON,,
10505,FORFAR HOT FOOD LTD,65 CASTLE STREET,,DD8 3AG,FORF AR,,
10257,FRESH FOOD HATFIELD LTD,17D TOWN CENTRE,,AL10 0JZ,HATF IELD,,
10343,FRESH INTERNATIONAL CENTRE,459 LORDSHIP LN,, N22 5DJ,LOND ON,020 3602 9827,
10217,FRESH VALLEY FOODS-(Y.HALIM)PALMERS GREEN,2A/B HEDGE LANE,, N13 5SH,LOND ON,,07438 336249
10216,FRESH VALLEY FOODS-(Y.HALIM)SOUTHGATE,2-4 WINCHMORE HILL RD,,N14 6PT,LOND ON,,07943 556621
10400,FRESHA FOODS SUPERMARKET,314 STATION ROAD,,HA2 2DX,HARR OW,,
10231,FRESHMART, 34 WEMBLEY HILL ROAD,,HA9 8FJ, ,,
10603,FRESHWAY FOODS LTD,UNIT 3 URBAN LOGISTICS TOTTENHAM,WILLOUGHBY LANE,N17 0RU,LOND ON,,
10160,GARDEN'S FOOD&WINE,86-90 MANCHESTER ROAD,, E14 3BE,LOND ON,,
10410,GB SUPERMARKET(EDIZ LTD),225-227. 225 LEY ST,, IG1 4BL,ILFO RD,,
10585,GLOBAL FOODS WHOLESALERS LTD,UNIT 29 CONINGSBY ROAD,,PE3 8SB,PETE RBOROUGH,,
10507,GO4FRESH NOTTINGHAM, SOVEREIGN HOUSE,184 NOTTINGHAM RD,NG7 7BA,NOTT INGHAM,,7850563004
10649,GOKSUNLULAR DERNEGI,,,, ,,
10473,GOLF LONDON,,,, ,,
10401,GRAND ISTANBUL MARKET,12-14 ELECTRIC PARADE,,E18 2LY,LOND ON,,
10550,GREEN MARKET,16 HIGH ROAD,,N22 6BX,LOND ON,,7375763391
10286,GREENS FOOD,74-75 GRAND PARADE,GREEN LANES, N4 1DX,HARR INGAY,,
10194,GREENS INTERNATIONAL-EDGWARE,159_163,,HA8 7JS,LOND ON,,
10186,GREENS INTERNATIONAL-FINCHLEY,45-51 WOODHOUSE RD,,N12 9ET,LOND ON,,
10248,GROSCO FOODS LTD,269-271 CHINGFORD MOUNT ROAD,,E4 8LP,LOND ON,,
10517,GURBET SUPERMARKET, 604B SEVEN SISTERS RD,,N15 6HT,LOND ON,,7984477519
10617,H&A CATERING LTD,UNIT 3 38 LOCKFIELD AVE.,ENFIELD,EN37PY,LOND ON,,
10637,HAIRWAVES LIMITED,UNIT 9 THE ARENA. MOLLISON AVENUE,ENFIELD,EN3 7NL,LOND ON,,
10429,HAJI FOODS,201 203 DUNSTABLE ROAD,,LU1 1DD, ,,
10529,HAKIKAT FOOD CENTRE LONDON,102-104 HIGH ST,,W3 6QX,LOND ON,,7749381136
10193,HALKO CASH AND CARRY LTD, UNIT 1. AERODROME FARM.,DALBY RD,LE13 0BL,LEIC ESTER,7385 589268,
10549,HAMID BIRMINGHAM,,,, ,,
10066,HAMIDIYE FOODS LTD,"
UNIT 3 PHOENIX HOUSE",TAYLOR LANE,M34 3NR,DENT ON, 7402 909554,
10431,HARLOW MARKET LTD,27 ADAMS HOUSE,EAST GATE,CM20 1BD,HARL OW,,
10232,HARRINGAY FOOD CENTRE,450-452 ST. ANN'S RD,,N15 3JH,LOND ON,, 07411 339
10455,HARVEST E1,103 BRICK LANE,, E1 6SE,LOND ON,,44 7767 320995
10042,HARVEST N1 LTD,102-106 ESSEX RD,,N1 8LU,LOND ON,,
10438,HARVEST N16, 172-174 STOKE NEWINGTON HIGH ST,,N16 7JL,LOND ON,, 07768 196900
10306,HARVEST N5,2-4 HIGHBURY COR,,N5 1RD,LOND ON,,+44 7767 320995
10349,HARVEST N8,159 TOTTENHAM LN,,N8 9BT,LOND ON,,
10271,HATCH LANE FOOD CENTRE, 39-43 HATCH LN,,E4 6LP,LOND ON,,
10402,HAYAT FOOD SUPERMARKET,496 CHURCH LANE,,NW9 8UA,KING SBURY,,
10512,HAYES FOOD CENTER,66-68 COLDHARBOUR LN,HAYES,UB3 3ES, ,,7983706160
10352,HELLO HARINGEY STORE LTD,473-475 GREEN LANES,,N4 1AJ,LOND ON, (020 8352 4955),07572 750089
10315,HEMEL FOOD CENTRE,147 MARLOWES,, HP1 1BB,HEME L HEMPSTEAD,,07533 375517
10206,HENDON INTERNATIONAL FOOD,8-10 VIVIAN AVE,,NW4 3YA,LOND ON,020 8201 5259 KULLANIMIYO,
10285,HENDON NATURAL MARKET,27 CHURCH RD,,NW4 4EB,LOND ON,,
10124,HI BAKLAVA,,,, ,7474 472880,
10291,HIGHAM PARK FOOD & WINE,5-8 THE BROADWAY PARADE,,E4 9LG,LOND ON,,
10447,HILAL SUPERMARKET,217 FORE STREET,,N18 2TZ,LOND ON,,
10183,HIVA SUPERMARKET,790 GREEN LANES,,N21 3RE,LOND ON,020 4537 3682,
10639,HKTN LIMITED,56 HKTN LTD BOX 13590,BISHOP S STORTFORD,CM23 9PZ,EAST  HERTS,,
10448,HMT FOOD AND WINE,465 SOUTHBURY ROAD,,EN3 4HX,ENFI ELD,,
10415,HOLBROOK SUPERMARKET,270 HOLBROOK COURT,,EN8 7SL,LOND ON,,
10331,HOLLAND BAZAAR LIMITED,15A. B. ELEY RD,,N18 3BB,LOND ON,,020 8887 9999
10065,HOUNSLOW BAZAAR LTD,86-92 HIGH ST,HOUNSLOW,TW3 1NH,LOND ON,7876 212741,
10213,HYPER FOOD CENTRE,3 BELL LN,,NW4 2BP,LOND ON,,
10423,IBRAHIM VANCI(BULGAR),,,, ,,
10413,IFOOD LTD,UNIT 3 METROPOLITAN PARK,,UB6 8UW,GREE NFORD,,
10025,IMPERIAL BUSINESS LIMITED,41-45 TURNPIKE LN, HARRINGAY LADDER,N8 0EP,LOND ON,,
10133,IMPERIAL FOOD & PACKAGING, UNIT 35A. MORELANDS TRADING ESTATE, BRISTOL RD,GL1 5RZ,GLOU CESTER,,
10044,INTERNATIONAL FOOD CENTRE LIMITED,562-564 ROMFORD ROAD,, E12 5AF,LOND ON,,
10373,INTERNATIONAL FOOD CENTRE-LEICESTER,43-49 BAR BOROUGH ROAD,,LE3 0LE,LEIC ESTER,,
10209,INTERNATIONAL SUPERMARKET LONDON,HIGH ST,, E17 7AB,LOND ON,020 8509 9557,
10403,INTERNATIONAL SUPERMARKET SOUTH WOODFORD,146-150 GEORGE LANE,,E18 1AY,LOND ON,,
10379,INTERNATIONAL SUPERMARKET WOODFORD,146-150 GEORGE LN,, E18 1AY,LOND ON,,
10587,IRMAK RESTAURANT,,,, ,,
10609,ISTANBUL BAZAAR,HERTFORD ROAD 319,EDMONTON,N9 7ET,LOND ON,,
10279,ISTANBUL MEGA MARKET, 30 GOLD STREET,,NN1 1RS,LOND ON,,
10573,ISTANBUL ORGANIC, 120-124 KING ST,,W6 0QP,LOND ON,,7934430083
10470,JOHN-MARBLE MAN,,,, ,,
10575,JON WHOLESALE LTD,UNIT 26 MAXWELL ROAD,,PE2 7JN,PETE RBOROUGH,,7709006164
10123,JURA TRADING,TRAFALGAR TRADING ESTATE,UNIT 5 JEFFREYS RD,EN3 7TY,ENFI ELD,7538 722120,
10619,KABANA LONDON LIMITED,151 QUEENS CRESCENT,,NW5 4ED,LOND ON,,7449994794
10624,KANVOL LIMITED,201-203 HACKNEY ROAD,,E28JL,LOND ON,,
10404,KAPADOKYA FOOD CENTRE,911-917 ROMFORD ROAD,,E12 5JT,LOND ON,,
10548,KCS CASH AND CARRY,UNIT 3. SILVERDALE INDUSTRIAL ESTATE,SILVERDALE RD,UB3 3BL,HAYE S,,
10187,KING'S FOOD CENTRE,99 HERTFORD RD,,N9 7EE,LOND ON,020 3602 9476,
10173,L7 VILLAGE MARKET, 110 PRESCOT RD,FAIRFIELD,L7 0JB,LIVE RPOOL,7453 276442,
10405,LA VALENTINO LTD,328 HIGH ROAD,,E11 3HS,LOND ON,,
10636,LAKES FOOD EURO LTD, UNIT 3. WEST LONDON BUSINESS PARK, 426 LONG DR,UB6 8UH,GREE NFORD,,
10087,LANLORD,,,, ,,
10251,LEA BRIDGE CONVENIENCE STORE,555 LEA BRIDGE RD,,E10 7EQ,LOND ON,,
10017,LEBANOS FOOD LTD,UNIT 1&1C BAGO HOUSE. 11-15 CHASE ROAD. PARK ROYAL,,NW10 6PT,LOND ON,0280 961 87 87,
10185,LEMON FOOD CENTRE,305-307 GREEN LANES,,N13 4YB,LOND ON,07828 601366,
10228,LEVISSI EXPRESS,396 KINGSLAND RD,,E8 4AA,LOND ON,,
10332,LEYTONSTONE MARKET, 33 CHURCH LN,BUSHWOOD,E11 1HG,LOND ON,020 8558 7587 NOT VALID,
10200,LIKYA SUPERMARKET,79 GOLDERS GREEN ROAD,,NW11 8EN,LOND ON,,
10646,LOBNAN STATION,23 A MINERVA ROAD,,NW106HJ,LOND ON,,
10304,LOCAL FAMILY SUPERMARKET,333-335 FOREST RD,,E17 5JR,LOND ON,,
10293,LOCAL FOOD & WINE,27 WINCHESTER RD,,E4 9LH,LOND ON,,
10287,LOCAL FOOD AND WINE,214 CHASE SIDE,ENFIELD,EN2 0QX,MIDD LESEX,,
10618,LOCAL FOOD EXPRESS LTD,47 GROUND FLOOR FORTESS ROAD,,NW5 1AD,LOND ON,,7853851225
10043,LOCAL SUPERMARKET,140-142 KINGSLAND HIGH STREET,,E8 2NS,LOND ON,,44 7447 408475
10238,LOCO FOOD CENTRE,134 W GREEN RD,SOUTH TOTTENHAM,N15 5AD,LOND ON,,
10249,LODAY LIMITED,430-432 GREEN LANE,,IG3 9LD,ILFO RD,,
10417,LONDIS DEANSBROOK,207 DEANSBROOK ROAD,,HA8 9BU, EDG WARE,,
10525,LONDON FIELDS EXPRESS,61-63 WESTGATE ST. LONDON E8 3RL,,E8 3RL,LOND ON,DELIVERY BETWEEN 09-13 30,7947669987
10250,LONGBRIDGE FOOD & WINE,572 LONGBRIDGE RD,,RM8 2AR,DAGE NHAM,,
10210,LUKS SUPERMARKET,230-240 STOKE NEWINGTON HIGH STREET,,N16 7HU,LOND ON, 07951 599757,
10388,LUTON MARKET LIMITED,31-33. WELLINGTON STREET,,LU1 2QH,LUTO N,,
10031,MAHIR AKARSU,,,, ,7479 823882,
10064,MANGO BEANS (WEST HENDON) LTD, 258 W HENDON BROADWAY,, NW9 6AG,LOND ON,,
10652,MARDINLI SEBO,SILVER STREET,,N18 1RP,LOND ON,,
10035,MARYLAND SUPERMARKET,23-25 LEYTONSTONE ROAD,,E15 1JA,LOND ON,,
10521,MASHA ALLAH FOOD CENTRE HAYES,51 STATION RD,,UB3 4BE,HAYE S,,7482611259
10029,MASS FOOD CENTRE,12-16 GREENGATE STREET,,E13 0AS,LOND ON,,
10540,MAXUM FOODS,43 PARK RD,,PE1 2TH,PETE RBOROUGH,,7460327132
10229,MAXXI FOODS CENTRE,46-48 HIGH ST,HIGH BARNET,EN5 5SJ,LOND ON,,
10278,MAXXI SAVE, 85 - 87 WEEDON RD,,NN5 5BG,NORT HAMPTON,,
10180,MAXXI SAVE INTERNATIONAL FOOD CENTRE, HARROW RD,WEMBLEY,HA9 6PG, ,,
10335,MAXY CASH AND CARRY LTD,UNIT 11 BOWMAN TRADING ESTATE,3565 WESTMORELAND ROAD,NW9 9RL,LOND ON,7749 487666,
10342,MAYA FOOD CENTRE,67 BURNT OAK BROADWAY,BURNT OAK, HA8 5EP,EDGW ARE,,
10538,MD'S NEW MARKET GROCERY,128 HIGH ST,NEWMARKET,CB8 8JP,CAMB RIDGE,,7502316153
10024,MEDI FOOD CENTRE LIMITED,84 BALLARDS LANE,, N3 2DL,LOND ON,,7595593025
10234,MEDWAY FOOD CENTRE,43 LUTON HIGH ST,,ME5 7LP,LOND ON,,
